iter	Passed	Remaining
0	0	754
1	1	686
2	1	640
3	2	618
4	3	613
5	3	617
6	4	619
7	4	613
8	5	606
9	6	620
10	7	670
11	8	669
12	8	660
13	9	656
14	10	657
15	10	650
16	11	641
17	11	635
18	12	631
19	12	627
20	13	621
21	13	617
22	14	613
23	15	610
24	15	608
25	16	605
26	16	602
27	17	600
28	17	596
29	18	595
30	19	594
31	19	594
32	20	599
33	22	637
34	23	638
35	23	639
36	24	638
37	25	646
38	26	647
39	27	648
40	27	645
41	28	643
42	28	641
43	29	638
44	29	635
45	30	632
46	31	629
47	31	626
48	32	623
49	32	622
50	33	620
51	34	620
52	34	619
53	35	617
54	36	632
55	37	634
56	38	633
57	38	631
58	39	629
59	40	627
60	40	624
61	41	621
62	41	620
63	42	618
64	42	615
65	43	613
66	43	612
67	44	610
68	45	609
69	45	608
70	46	607
71	46	605
72	47	607
73	48	606
74	48	603
75	49	602
76	50	600
77	50	602
78	51	603
79	52	602
80	52	600
81	53	599
82	53	594
83	54	593
84	54	591
85	55	590
86	56	589
87	56	587
88	57	586
89	57	584
90	58	583
91	59	582
92	59	581
93	60	580
94	60	579
95	61	579
96	62	578
97	62	578
98	63	577
99	64	576
100	64	575
101	65	579
102	66	579
103	67	578
104	67	576
105	68	575
106	68	573
107	69	571
108	69	569
109	70	567
110	70	565
111	71	563
112	71	561
113	72	560
114	72	558
115	73	556
116	73	554
117	73	552
118	74	550
119	74	548
120	75	547
121	75	545
122	76	544
123	76	543
124	77	542
125	77	540
126	78	538
127	78	537
128	79	535
129	79	533
130	80	535
131	81	535
132	81	534
133	82	532
134	82	531
135	83	529
136	83	527
137	84	525
138	84	524
139	85	522
140	85	520
141	85	518
142	86	516
143	86	515
144	87	513
145	87	512
146	88	510
147	88	509
148	88	507
149	89	507
150	90	506
151	90	504
152	90	503
153	91	501
154	91	500
155	92	499
156	92	498
157	93	496
158	93	495
159	94	494
160	94	491
161	95	492
162	96	493
163	96	492
164	97	491
165	97	489
166	97	488
167	98	487
168	99	486
169	99	485
170	99	484
171	100	482
172	100	481
173	101	480
174	101	479
175	102	478
176	102	476
177	103	475
178	103	474
179	103	473
180	104	472
181	104	470
182	105	469
183	105	468
184	106	467
185	106	465
186	106	464
187	107	463
188	107	463
189	108	461
190	108	460
191	109	459
192	109	458
193	110	459
194	111	459
195	111	458
196	112	457
197	112	456
198	113	454
199	113	453
200	113	452
201	114	451
202	114	450
203	115	449
204	115	448
205	116	447
206	116	446
207	117	448
208	118	447
209	118	446
210	119	445
211	119	444
212	120	443
213	120	442
214	120	441
215	121	440
216	121	439
217	122	438
218	122	438
219	123	437
220	123	436
221	124	435
222	124	434
223	125	435
